track,artist,year,songHotness,artistFamiliarity,artistHotness,tempo,loudness,timeSignature,timeSignatureConfidence,key,keyConfidence,mode,modeConfidence,meanSegmentTimbre_1,meanSegmentTimbre_2,meanSegmentTimbre_3,meanSegmentTimbre_4,meanSegmentTimbre_5,meanSegmentTimbre_6,meanSegmentTimbre_7,meanSegmentTimbre_8,meanSegmentTimbre_9,meanSegmentTimbre_10,meanSegmentTimbre_11,meanSegmentTimbre_12,mood
1492,Scarlet's Remains,2005,0.480329369,0.527865076,0.393121934,170.702,-8.039,4,0,0,0.599,1,0.464,48.81835456,34.09218244,9.484900172,-18.47099312,-26.76646127,-25.79970568,-9.299924269,0.71524957,16.09305164,10.24369535,-1.627153184,-0.370247849,angry
3,Britney Spears,2009,NaN,0.947327507,0.60725728,131.999,-6.278,5,1,1,0.309,1,0.409,46.62721544,14.99467148,-32.78636154,24.12126083,-10.09894841,-27.99168469,12.57993232,13.03061535,1.277525794,7.914642592,8.166654973,4.393197276,excited
6TH Avenue Nightmare,Pennywise,2005,NaN,0.816998189,0.512229189,200.877,-5.111,4,0,9,0.053,1,0.217,51.2027611,57.10446095,21.55125881,-4.6588683,-16.92533384,-24.97035375,-0.425289433,-2.649019908,4.413961715,8.586961715,-1.523460949,-7.412026034,excited
A Fall Song,Cross Country,2009,0.212045405,0.375195664,0.355707867,129.169,-11.724,4,0.74,9,0.781,1,0.521,40.38922128,-28.14775532,-12.3480383,-24.12940851,-21.24485106,-8.162044681,-14.81427872,-6.644438298,15.25890851,2.010770213,-0.351880851,18.28845319,calm
A Talk With Dad,Speech,2003,0,0.596275994,0.341959997,73.11,-22.033,5,0.814,1,0,0,0,27.02996029,-20.01733676,54.59571176,24.38863676,-50.08426471,27.44113529,-46.79941324,12.32880294,-32.84059412,0.236398529,0.297869118,25.66253088,calm
Acension Final Chord Rising,Terry Riley,2002,NaN,0.60981436,0.409762631,128.135,-37.065,4,0.65,2,0.036,1,0.211,17.40618462,-112.8344769,29.09646154,-16.96992308,115.1665692,-51.42318462,15.23536923,11.45636923,-38.84595385,-7.684246154,-0.729138462,-27.96561538,calm
Adrift,Jack Johnson,2008,0.737850332,0.832011771,0.643072293,241.818,-15.967,4,0.359,0,1,1,0.963,35.08225037,-81.20287406,-21.84917991,-12.02061619,-4.493358321,-1.299664168,4.485442279,-8.885233883,-1.011521739,-6.860674663,-4.311658171,4.533016492,calm
Affliction,AFI,2006,0.836930122,0.909247283,0.554938522,113.471,-5.711,5,0.576,4,0.093,1,0.332,47.92822689,1.524164916,20.61973529,-2.360043067,-23.04271534,-22.65178992,6.047514706,0.116639706,1.545265756,-0.873337185,2.101742647,4.440447479,excited
After One Quarter Of A Revolution,Every Time I Die,2009,0.656917227,0.842423318,0.56485575,114.638,-3.988,1,0.341,7,0.099,1,0.452,52.15524155,28.11049275,24.95718116,-9.638917874,-1.562137681,-28.49427536,4.366086957,2.510582126,7.354702899,5.202398551,-2.593806763,-2.033193237,angry
Ain't Gone 'N' Give Up On Love,Stevie Ray Vaughan And Double Trouble,2005,NaN,0.78303711,0.544257506,150.582,-12.077,3,1,1,0.572,1,0.532,39.70249763,-23.87105393,-24.20791391,-11.86108325,-32.24462441,-11.90794324,2.044701987,-3.923425733,15.53784484,2.051519395,-0.586883633,10.07484957,calm
Ain't It Funny,Jennifer Lopez,2001,NaN,0.816842854,0.567889145,99.831,-4.821,4,0.884,2,0.542,1,0.484,47.66540198,40.25828119,-1.154030693,-3.509479208,0.049337624,-11.32394059,1.236069307,5.974656436,5.742308911,5.529123762,-0.402133663,9.444732673,happy
Ain't That Something,High Strung_ The,2003,NaN,0.59994467,0.396800219,120.944,-2.694,4,0.688,9,0.795,1,0.582,53.73707643,35.26336093,25.97096603,-4.313286624,-21.1667431,-13.04748832,-12.37415499,-0.453146497,9.684723992,-1.086312102,-0.38718896,-6.419768577,happy
All I Can Do,Kane,2005,NaN,0.58893851,0.377961532,89.975,-10.262,3,1,3,0.116,1,0.341,36.77457996,-45.25656716,-18.93227505,-21.07701066,-12.74464179,-14.7638209,0.806539446,-2.901950959,-3.318829424,-3.913223881,-4.897144989,-4.86854371,sad
All Of This,Blink-182,2003,0.724133953,0.851351443,0.582346374,117.574,-5.342,4,0.956,9,0.501,1,0.6,47.43275311,-0.990396376,-13.73216082,2.272294451,-15.40666025,-6.868138165,8.428663647,-14.17310985,17.35560589,-4.811202718,-1.641775764,-2.194870895,sad
All That's Left,Thrice,2003,0.896789016,0.873238653,0.519965479,182.977,-2.87,4,0.472,7,0.663,0,0.639,51.37826023,52.48888158,32.1685848,12.88575877,-36.81937427,-17.68455117,-5.695054094,0.602752924,12.64953801,6.843076023,5.351887427,4.552777778,excited
Ambulance Man,Memphis Jug Band,2001,NaN,0.506126774,0.350787891,97.754,-15.963,1,0,10,0.977,1,0.858,36.11808478,-75.02558043,24.66967174,-17.2763,-48.3453087,21.13904565,-32.48558478,7.91803913,7.97833913,13.51133478,-5.569023913,2.409184783,sad
America's Suitehearts,Fall Out Boy,2008,0.787620404,0.93796475,0.566622888,160.109,-4.469,4,0.47,2,0.439,1,0.524,50.29077634,44.16013128,29.27563695,-3.321998379,-3.268388979,-14.43279254,-2.588461912,-0.41867423,15.82015073,6.322805511,-1.982867099,-2.234095624,happy
American Dreams,Charlie Haden,2002,0.265861049,0.618296844,0.375374819,141.229,-24.22,4,0.06,7,0.367,1,0.288,27.3094292,-97.51980531,-66.08514749,-23.55660472,14.52958555,-33.07264159,8.693448378,-0.08979646,4.605967552,6.14650885,-1.129358407,-10.61598525,calm
American Girl,Brooke Valentine,2005,0.668033348,0.705745818,0.359064296,130.495,-5.806,4,0.61,9,0.746,1,0.499,44.56664499,30.99157688,-17.53906398,15.01284727,6.761136223,0.79826419,-4.9179742,3.172244582,6.965341589,9.526603715,4.358496388,1.258018576,happy
Angel Food,Steve Vai,2009,0.564985964,0.645720023,0.543954417,147.83,-12.338,1,0,4,0.459,1,0.112,38.81759164,63.29237106,-71.83374791,-12.34168039,9.225654662,-7.489453376,-10.03616656,-12.95387653,8.923959486,4.65402508,-0.731551768,6.547606431,excited
Anyone Who Had A Heart,Cal Tjader,2003,NaN,0.624200328,0.369076871,118.596,-18.896,1,0,10,0.576,1,0.5,34.04402421,-64.55127374,5.11747486,2.636815642,15.28168715,-13.89689944,5.32766108,-10.75878957,19.95452328,1.030126629,-0.183456238,1.766363128,calm
Anywhere Anytime,Sara Melson,2008,NaN,0.576523099,0.323637336,167.905,-4.638,4,0.238,5,0.75,1,0.689,50.86476988,18.35509814,15.54765313,-8.088104907,24.34667682,-14.37159729,8.691807107,-1.372104907,4.327194585,-2.969079526,-5.304854484,-7.213622673,happy
Approach To Danger (Edited),N.W.A.,2006,0.657056484,0.747708669,0.52040786,189.801,-5.032,4,0,6,0.827,1,0.756,49.84136218,99.36464847,15.63920107,-2.687563249,0.566623169,-13.8535486,-5.6973502,13.56707856,7.944219707,17.34976964,-3.548865513,16.20425033,angry
Baby Don't You Change,Tyrone Wells,2005,0.722844728,0.689793071,0.377849173,151.699,-7.825,4,0.831,1,0.561,0,0.536,43.10377473,25.61475328,-36.66418355,-9.80432062,-15.44394517,6.282020262,-1.062809297,-0.599624553,0.80972944,-0.158926103,-6.632996424,-0.314014303,calm
Baby_ I'm Your Man,Kevin Max,2008,0.595926916,0.599464763,0.392747311,88.002,-6.968,4,0.331,9,0.493,1,0.519,46.15897414,-40.41928793,27.59879483,-4.825381034,5.5146,-12.4219069,-3.319987931,-1.788455172,-4.674124138,-7.660401724,-0.171768966,0.867196552,happy
Back Then,BoDeans,2010,0.355285536,0.617608694,0.405967369,147.944,-5.892,4,0.776,9,0.571,1,0.52,48.66327249,2.73755527,8.32498072,0.579546272,-14.41720308,-9.496125964,-11.80274679,-4.216699229,-9.991208226,-7.163011568,5.80533419,1.742044987,happy
Be,Jessica Simpson,2003,NaN,0.776885722,0.586086207,163.848,-6.53,4,0.384,5,0.633,1,0.511,46.02103178,28.52979829,19.05162836,-3.246339853,8.06647555,-14.70900367,-0.512440098,-4.973871638,0.438599022,0.570398533,-1.586706601,-2.193512225,happy
Beautiful,Eminem,2009,NaN,0.871010615,0.804830428,131.955,-7.038,4,0.722,5,1,0,0.89,40.82232826,24.86442844,-50.25512165,8.64379517,-41.03599642,2.312764758,-29.91550894,1.831633274,22.3443703,-2.871706619,-2.483764758,3.491199463,sad
Been There All The Time,Dinosaur Jr.,2007,0.62921271,0.749796959,0.551552455,253.357,-3.868,4,0.506,2,0.191,1,0.309,52.0102717,22.92010566,40.3781434,-0.334156604,-8.000362264,-22.76595094,-7.315709434,0.057286792,12.98754151,3.336696226,2.190979245,6.353758491,excited
Beneath an Evening Sky,Aisha Duo,2005,0.417641648,0.638073376,0.417967347,86.903,-19.744,5,0.545,1,0.441,0,0.592,28.937219,-176.0727295,-46.16959259,-0.805188406,45.30086473,-22.86466345,-11.29693237,3.077901771,-13.55986795,-1.336447665,6.407136876,4.296500805,calm
Better Life,3 Doors Down,2007,NaN,0.840432467,0.64298222,151.8,-4.995,5,0.676,6,0,0,0.106,51.76434845,46.68234845,18.13372784,-13.66618144,-5.316049485,-26.39309485,-3.496525773,-0.199734021,4.641140206,-0.264604124,-0.426527835,-0.156843299,excited
Bite Back,The All-American Rejects,2005,0.557880389,0.840651579,0.582205564,147.998,-5.071,4,0.168,9,0.741,1,0.543,50.61187758,47.67237576,25.90862424,-0.563472727,1.006249697,-21.09011758,8.088746667,7.673347879,-3.003356364,3.190918788,0.314986667,-1.152838788,happy
Blackwood Moth,Milieu,2007,0.401486711,0.565102058,0.360054673,87.003,-13.08,4,0.551,10,0.088,1,0.421,35.95690763,-43.6842506,-3.208805622,63.74686586,9.668490763,12.37757108,28.04884177,-54.34360803,-17.05093414,-41.63166426,2.90366506,-6.255814458,calm
Bleeds In Blue (Album Version),Home Town Hero,2002,0,0.501368343,0.310317337,156.202,-2.863,4,0.881,1,1,1,0.856,52.31052619,-8.564347619,21.28317857,-4.963871429,-15.65055,-16.82253571,-1.904914286,-4.281630952,6.65187381,1.994021429,-1.699457143,-14.3730381,happy
Bloody Pig Pile (Live),Dropkick Murphys,2002,0.528782481,0.79309437,0.568491815,183.808,-5.386,4,0,9,0.008,0,0.254,50.68480602,15.93684448,40.67880268,-2.908852843,-9.098608696,-22.58489632,-0.300777592,-4.275458194,20.43469565,10.57840301,-4.107254181,-7.390444816,excited
Blowin' In the Wind,Ben Sidran,2009,0.22154866,0.599935172,0.356795543,68.479,-17.336,5,0.875,5,1,1,0.878,33.89306993,-96.96214965,-26.28813986,-20.49209231,0.157398601,-10.81131469,-4.986893706,-5.811923077,2.800574825,-7.705285315,-3.792627972,-0.452448951,sad
Boys,Britney Spears feat. Pharrell Williams,2001,0.563246899,0.153605548,0.60725728,106.919,-4.947,4,1,6,0.835,0,0.77,45.48707431,66.73212018,-18.27112661,23.27661009,17.72385413,-2.705565138,-18.84966606,-1.557711927,7.596101835,10.56301009,3.946963303,-0.984974312,excited
Break The Ice,Britney Spears,2007,NaN,0.947327507,0.60725728,130.012,-5.432,4,0.17,0,0.652,1,0.509,47.45625665,26.57352598,-24.15595184,24.80251077,10.64607161,-8.989455006,4.945376109,-6.097436946,4.826907795,6.396064956,5.327682826,0.223233523,excited
Breathless,Lifer,2001,0.664542415,0.49145852,0.381044109,98.513,-6.292,4,0.643,1,0.143,0,0.475,46.62214572,48.49891519,5.477580571,-2.746630686,-47.17026446,-9.74884734,1.883751735,9.83762606,2.898737857,11.68393755,-4.103135698,-8.490363917,angry
Broken Boy Soldier (KCRW Version),The Raconteurs,2006,NaN,0.839021531,0.562834751,128.186,-7.377,1,0.537,4,0.605,0,0.517,45.67872131,-2.400883985,-22.51174527,-9.771337957,-2.509216898,-11.63909584,11.96178184,-5.856732661,20.11399369,4.202702396,-5.046958386,11.36794956,excited
Bullet Frenzy,Elliot Goldenthal,2003,0.394394856,0.599133769,0.392994623,148.505,-13.179,5,1,2,0.746,1,0.707,34.90738155,-53.11356796,11.0395106,-13.50777618,-22.05053242,-22.69545137,2.146905237,-0.555456359,10.637452,2.681061097,-0.966635287,-0.104836035,excited
Bullmoose (LP Version),Bobby Darin,2008,NaN,0.704411407,0.469425908,181.368,-8.774,4,0.35,0,0.904,1,0.713,46.72844866,56.17309163,41.27457188,5.384028436,-7.420314376,-1.920030016,-14.26134281,-9.420227488,7.561423381,9.12492891,-4.885055292,-3.008718799,happy
Burning In The Aftermath,The Suicide Machines,2003,0.528782481,0.668674533,0.467538444,115.887,-2.022,4,0.744,2,0.421,1,0.589,54.27527113,60.07509155,25.89983803,-4.936908451,-18.22547183,-22.23795423,-14.38920423,-0.547440141,4.497165493,6.820232394,1.493823944,2.37706338,angry
Busted,Natalie Cole,2008,NaN,0.69044755,0.507781667,167.697,-7.092,3,1,5,0.554,1,0.501,44.59683929,2.885352679,23.80505506,3.371354167,-13.89545536,11.33101637,3.703675595,-1.990236607,9.776744048,-2.704311012,-6.805590774,-4.746047619,happy
C'est Toujours la M̻me Histoire,Martha Wainwright,2009,0.597116703,0.704244766,0.497568734,82.124,-11.574,7,0.74,10,0.513,0,0.516,38.60969899,-61.10937531,39.86352267,-7.597337531,25.71193829,-9.524450882,-7.777387909,0.978671285,0.683387909,-0.442225441,-4.417971033,1.059468514,sad
Cadillac Walk (Album Version),Willy DeVille,2009,0,0.613598057,0.377720338,143.592,-5.883,1,0,2,0.82,1,0.638,47.31729776,26.17058827,-3.315156785,-4.797234519,-22.56271476,-18.81260738,3.962951252,-7.029536232,7.635546113,0.850644269,2.749306324,7.881463768,happy
California_ Gracefully,Every Time I Die,2001,0.574693297,0.842423318,0.56485575,93.458,-4.029,1,0,9,0.538,1,0.346,52.87439956,32.75703057,34.53422052,-7.098617904,-17.07715284,-22.12726419,6.648995633,3.590325328,3.178480349,7.868818777,-6.441552402,-8.511779476,angry
Celluloid Heroes,Bon Jovi / Ray Davies,2002,NaN,0.839297678,0.718891456,130.281,-5.158,4,0.283,6,0.896,1,0.688,48.3039897,26.35983867,23.22779519,-3.840070938,11.67049199,-17.15347483,5.302017162,-2.277469108,12.75412471,1.000315789,-1.240284897,11.71651259,happy
Champagne & Reefer,Bongzilla,2005,0.536788886,0.574400789,0.446071584,97.265,-4.627,3,1,9,0.437,1,0.353,52.01346104,-22.7860211,16.42522078,-18.44777273,-36.82940422,-18.49608929,-21.44673377,-7.541050325,27.29735227,4.796147727,-1.814089286,-5.111394481,angry
Changed My Life,Baby Bash / Grimm,2003,NaN,0.833893808,0.602115455,89.478,-5.179,4,0.883,2,0,1,0,43.34392086,31.7058984,-3.012858824,22.27687273,-14.98728128,40.1017861,-5.411575401,-10.67500856,10.45371765,-13.39933904,-7.432771123,13.0835508,calm
Child Of The Night,Damone,2006,0,0.581082685,0.390023847,154.093,-4.272,4,0.453,6,0.289,0,0.48,51.69213816,28.42621546,22.03239803,-9.134521382,-30.81615625,-17.76611678,-7.445440789,3.206465461,6.712912829,0.232888158,-0.242282895,-0.059447368,excited
Church Hangover,George Lopez,2006,NaN,0.668020249,0.516963731,101.455,-16.724,1,0,9,0.022,0,0.073,34.44784175,10.12587961,114.942768,25.50103981,34.82962913,-2.764097087,-13.96556311,2.622670874,-9.721195146,-1.953770874,-1.982239806,2.981181553,happy
Citizen Of The Planet,Simon & Garfunkel,2004,0.419674279,0.796493402,0.510324986,151.5,-13.047,4,0.161,7,0.704,1,0.55,40.36538679,-17.46204852,-22.53956873,-22.95104043,-6.15543531,-11.20437062,-17.30014151,-9.074448787,2.578160377,-0.160687332,-2.865190027,-6.397929919,calm
Climate Control,Uphill Battle,2002,0.396700138,0.46626221,0.369609835,107.329,-6.563,4,0.694,2,0.889,1,0.644,49.31024406,1.942271589,37.04246183,-2.815389237,-23.31689737,-28.65727284,6.584317897,-0.574400501,25.86217146,9.809705882,-1.876239049,1.451576971,angry
Clown,Mariah Carey,2002,0.564258739,0.934935267,0.787005469,120.083,-10.187,7,1,7,0.045,1,0.291,42.41128784,43.07720676,-59.70043378,-30.88010676,40.24879054,-15.67642432,-21.16689865,-1.0631,-23.34022027,0.257444595,-2.272443243,8.072340541,sad
Co Co My My,Poncho Sanchez,2002,NaN,0.577228503,0.373552391,211.806,-12.995,4,0.298,5,0.501,1,0.343,40.66044429,59.63164104,30.92300917,22.62966925,15.60807475,4.570624824,1.561619182,-8.721285614,11.30808604,13.84584344,-3.897661495,2.210075458,happy
Collide,Howie Day,2003,NaN,0.830642317,0.54605418,180.073,-12.316,4,0.882,10,0.598,1,0.637,39.56159322,-51.12392542,-0.359984181,0.363124294,35.18447797,-8.484344633,-14.85063051,-21.40650282,11.24936497,0.02180678,1.485479096,-2.958051977,sad
Come Around (LP Version),Sister Hazel,2003,0.627363448,0.731065756,0.509878708,217.13,-5.09,4,0.326,10,0.799,1,0.569,50.27913963,22.5287969,14.0978237,-8.070928068,-6.383949224,-18.60354161,3.087015515,-4.450131171,0.353688293,-2.635338505,-1.128190409,3.677307475,happy
Come Home With Me,Cam'Ron / Juelz Santana / Jimmy Jones,2002,0.499445835,0.858270678,0.515325301,163.57,-5.104,4,0.772,6,0.659,0,0.506,46.56162651,73.46992289,18.02853896,2.363085944,-12.84317751,-11.70208594,-24.50949317,12.36645221,12.53762249,18.53709237,4.403010442,11.0467253,angry
Comin' Home,ZO2,2007,0.265861049,0.595660905,0.345241137,88.344,-5.802,5,0.307,7,0.18,1,0.298,48.06967721,13.14018539,15.26159978,-10.84945583,-5.730343511,-18.44143621,2.943526718,0.789601963,-1.938428571,-2.244052345,-0.976285714,7.911628135,excited
Comin' Tonight,Martha Wainwright,2008,NaN,0.704244766,0.497568734,117.316,-13.551,4,0.284,9,0.651,1,0.604,37.49146766,-13.73212272,-28.94063184,-20.98652902,-12.66805638,0.437887231,10.3464262,-4.520441128,10.23857877,1.023373134,-8.611533997,6.314630182,happy
Constructing the Absence,Sub Swara,2008,NaN,0.532742443,0.408424888,94.648,-9.822,3,1,7,0.007,1,0.296,39.71848114,-21.79441435,-45.21396846,27.22457947,-11.1624799,-9.790859617,4.101470625,-15.98410761,12.25845145,8.413486704,0.610097093,-10.78198268,excited
Cop It,MIMS,2007,0.529730607,0.796320378,0.524994964,105.393,-4.186,4,0.906,11,0.217,1,0.357,48.97290228,44.83945515,43.26505087,6.107301205,22.13146586,6.659558233,-10.00744177,7.909808568,-3.989168675,10.63103614,-4.750649264,4.36967336,angry
Cutdown,Bongzilla,2005,0.548678056,0.574400789,0.446071584,91.498,-6.407,3,1,11,0.109,1,0.446,48.00260324,-23.47291296,-9.059474696,-15.17030364,-29.4195668,-19.60005972,-6.386815789,-4.648928138,14.62555263,1.068684211,-2.476722672,-6.276052632,angry
Day Old Blues,Kings Of Leon,2004,0.724788814,0.845768866,0.837714709,85.855,-10.831,4,0.429,4,0.702,1,0.598,37.87368592,-45.4968556,10.66505415,-10.6607509,16.37613899,0.052546931,4.885494585,1.004211191,8.174684116,7.901870036,-10.14912455,1.430070397,sad
Daydreaming the Color of Blood,Soilent Green,2001,0.447784051,0.460409667,0.442348448,100.917,-5.958,1,0,2,0.478,1,0.493,50.02526254,83.39673579,-17.28758194,-17.93246656,-29.08359866,-27.93852508,-8.744506689,0.158374582,6.304560201,8.649386288,0.900234114,9.201006689,angry
Deep Sea Creature,Mastodon,2001,0.597640798,0.780461749,0.574274731,173.205,-3.306,5,0.12,5,0.555,1,0.5,52.75699407,57.83432028,31.77840688,-0.294938316,-39.55562633,-26.86427165,1.019390273,3.094856465,7.287772242,7.169720047,4.441188612,10.4211981,angry
Destroy Everything (Album Version),Hatebreed,2006,0.259231544,0.832757431,0.546383748,110.016,-3.08,4,0.981,7,0.115,1,0.485,51.56556063,43.0446558,13.22921904,-5.47546545,-17.5295515,-19.21774707,1.666323338,2.025890482,7.793685789,12.73043546,-4.277975228,-2.255443286,angry
Diamonds From Sierra Leone,Kanye West,2005,NaN,0.877213746,1.082502557,81.53,-5.597,4,0.859,7,0.569,1,0.578,48.70619167,22.36896805,45.18459245,1.474045499,-0.124094869,-6.654979671,-4.581625363,1.605181994,10.73353824,3.316573088,-6.371558567,-3.381470474,excited
Dipset (Santana's Town) (Skit),Juelz Santana / Freekey Zeekey / Monique Garnett,2003,0.38293509,0.822843255,0.531436737,196.482,-19.771,3,0.516,0,0.032,1,0.078,26.01804242,57.98002424,35.93573333,2.892324242,27.88901818,32.23157273,-19.68184242,8.741636364,-13.25154848,8.884806061,-14.83539394,11.6779697,angry
Disease,Dokken,2008,0.460541281,0.769896415,0.458293186,89.019,-5.152,4,1,6,0.09,1,0.513,51.21603729,65.91942203,33.65288814,0.193777966,-23.22936271,-23.92154576,3.070986441,-0.306905085,-0.862167797,3.816910169,0.793925424,7.154418644,angry
Don't let go,Pacha Massive,2006,NaN,0.590818773,0.420945486,105.991,-4.493,4,0.143,11,0.013,0,0.315,47.16110829,23.46146429,-29.44144355,38.01015323,-10.85287097,16.67548963,-4.914059908,-25.783303,13.23335023,-11.90051498,3.185261521,4.058336406,happy
Drifting From Town To Town,Bobby Bland,2006,0,0.57944035,0.390981124,105.927,-10.269,3,1,2,0.592,0,0.43,43.77427858,-105.669343,77.64279388,15.2917343,-3.167847021,7.555544283,-18.96250242,-1.629022544,21.60123188,6.445193237,4.534227053,3.793486312,sad
Drive,Pacha Massive,2007,0.558033229,0.590818773,0.420945486,125.994,-7.761,4,0.023,9,0.378,0,0.332,42.86672214,-54.31580132,-45.75317889,37.84168328,-24.10887683,7.596762463,8.112062317,-25.1496415,21.99763563,-7.527500733,5.869863636,5.453156891,happy
Drugs,At All Cost,2007,0.405115722,0.640860156,0.32220637,100.331,-6.465,7,0.616,3,0.536,0,0.457,43.75740063,-46.75416496,17.61027808,3.775291438,-1.889098979,-15.83002828,-9.428032207,-6.277344855,-2.230246661,-3.893979576,5.329218382,10.65148075,angry
Dump,Mobb Deep featuring Nate Dogg,2004,0.496175336,0.772272161,0.500119335,91.562,-3.813,4,0.429,6,0.635,1,0.585,47.08187528,43.36392022,-11.64721011,-7.257629213,1.441195506,-7.296047191,-12.58981798,10.39705618,-0.781623596,12.12477303,-2.224596629,0.735847191,angry
Easy or Not (Album Version),To My Surprise,2003,NaN,0.480377153,0.355022011,149.654,-2.17,4,0.442,7,0.707,1,0.553,53.3801968,52.1437216,7.4167168,-8.799928,-13.2502784,-23.4386128,-13.016696,-9.8718096,8.3025408,0.912808,1.44196,-2.6600784,excited
Elbow Macaroni (Skit),Tech N9ne,2008,NaN,0.760270106,0.496071347,191.383,-23.923,4,0.637,5,0.325,0,0.438,26.40111656,-97.06184356,111.6177454,35.84297853,42.17804908,38.41182209,-23.55387117,27.65901534,-57.51783742,8.492680982,-3.266168712,-2.098039877,calm
End Of The Age,Becoming The Archetype,2008,0.696230193,0.657826293,0.446170543,85.061,-4.757,4,0.616,2,0.391,0,0.449,49.40141394,31.25390344,11.09300504,-5.463079765,-18.48929975,-21.29361881,2.725440806,-6.393628883,14.00763728,6.171868178,-1.605792611,-7.408895886,angry
Ever Be,Korn,2007,NaN,0.829135422,0.558298348,160.022,-5.912,3,0.719,10,0.439,1,0.383,48.16595238,19.27295882,22.44612098,-0.41979408,-34.67946847,-15.49619048,1.802235521,-6.351751609,12.44415701,2.853640927,0.343136422,3.563975547,angry
Everything Man (Album Version),Talib Kweli,2007,NaN,0.772794404,0.551016443,89.658,-9.577,4,0.476,8,0.104,1,0.344,41.16034183,-30.27755504,-9.410560834,-4.425186559,-18.97241136,-3.844604867,4.265100811,-1.12175898,4.792057937,1.756845886,-6.202725377,-8.614588644,calm
Everytime,Britney Spears,2003,NaN,0.947327507,0.631289508,85.331,-3.738,3,0,0,0.452,0,0.522,50.8815925,26.92014873,4.31314873,2.625668682,1.92014873,-25.74853083,-0.137719468,-7.77728416,8.581666264,8.641593712,2.633968561,-1.443437727,sad
Fat Tuesday,Chris Standring,2003,0.642091038,0.564710159,0.415937641,111.039,-9.339,4,0.63,0,0.847,1,0.744,39.59665136,-18.40519048,-41.04102041,14.77351531,5.724202381,-3.561887755,-1.94782568,-2.08057483,-14.5145051,-8.273131803,4.209038265,-9.320261054,happy
Fingerprints,Minipop,2007,0.673074435,0.612770671,0.372890581,160.051,-4.993,4,0.614,2,0.208,1,0.523,49.14048077,-19.65808242,44.70873352,1.302453297,-4.882299451,-20.54537088,0.496980769,-6.147758242,18.97985165,2.867156593,0.766041209,-6.686788462,sad
Fire,Steve Vai,2001,0.47212112,0.645720023,0.543954417,163.692,-7.856,4,0.183,2,0.434,1,0.462,43.63198467,25.5447611,17.18941082,-1.753075868,-6.809132365,-10.96932203,-12.68400242,5.004423729,1.047331719,2.689874092,1.386930589,6.329717514,excited
