track,artist,year,songHotness,artistFamiliarity,artistHotness,tempo,loudness,timeSignature,timeSignatureConfidence,key,keyConfidence,mode,modeConfidence,meanSegmentTimbre_1,meanSegmentTimbre_2,meanSegmentTimbre_3,meanSegmentTimbre_4,meanSegmentTimbre_5,meanSegmentTimbre_6,meanSegmentTimbre_7,meanSegmentTimbre_8,meanSegmentTimbre_9,meanSegmentTimbre_10,meanSegmentTimbre_11,meanSegmentTimbre_12,mood
Fire and Ice,Outerspace,2004,0.401486711,0.611933956,0.37235087,96.716,-4.974,4,1,7,0.296,1,0.56,49.38516414,2.242979127,71.46684535,14.88602562,-0.246594877,-5.176467742,-15.46622676,-3.470441176,-1.619383302,-2.535965844,3.044524668,-5.707037002,angry
Forever Consumed Oblivion,Goatwhore,2006,0.514753324,0.773271848,0.429689629,110.994,-4.442,4,0,10,0.224,0,0.501,52.64878107,59.11107345,21.70885593,-13.45921186,-37.19932203,-28.94219774,-4.90795339,8.366402542,16.71785452,14.85856638,-0.18760452,4.385107345,angry
Freeze,Pepper,2008,0.540786009,0.765141418,0.471493227,220.104,-5.286,3,1,9,0.517,0,0.525,46.13642298,15.67177652,1.739618687,5.520089646,-16.54816162,-0.627516414,-4.490799242,-0.853031566,19.20131566,8.489387626,-3.285622475,3.261680556,happy
Frustration,Rocket From The Tombs,2002,NaN,0.470615401,0.355646469,164.23,-7.359,1,0,9,0,0,0.007,47.99317251,1.596423181,21.39693261,-9.792703504,-13.79044205,-22.00919946,-14.29349865,7.069973046,-9.429708895,-1.297700809,1.89684097,-10.67792183,excited
Gallows (Album Version),Atreyu,2009,NaN,0.821844255,0.592439486,138.536,-3.639,4,0.547,5,0.118,0,0.256,51.92273413,55.74823214,24.00486706,-10.03903373,-17.94056944,-27.8345496,0.412668651,3.399829365,2.291462302,5.59447619,0.228535714,-0.31580754,angry
Geek USA (Album Version),Between The Buried And Me,2006,0.588385843,0.840590438,0.546545162,126.773,-5.094,4,0.57,6,0.491,1,0.395,50.55079663,34.58154373,-3.971320337,-12.9261412,-17.96704426,-26.98470917,-17.62569652,-7.550211802,6.624578504,-1.703997893,7.029323498,14.39976502,excited
Genius Of Love 2002 (featuring Tom Tom Club & Biz Markie),X-ecutioners featuring Tom Tom Club & Biz Markie,2001,0.518759898,0.619260605,0.416935872,102.643,-5.438,4,1,0,0,0,0,44.25765557,25.2101411,-29.65837599,1.25639702,-17.44399562,17.82613497,-4.2306617,9.111787029,-1.793909728,2.789631902,-4.385647677,0.481483786,happy
Get It Poppin' [Featuring Nelly]  (Album Version - Exp. Version) [Serban Main 4/20/05],Fat Joe,2005,NaN,0.822908534,0.572027854,100.783,-7.239,4,1,5,0.246,1,0.371,43.42335048,51.84113719,17.58873633,21.61907395,26.89328617,19.55200429,-4.980888532,6.053923901,-0.904620579,12.02341908,-8.004572347,4.43556806,excited
Going Back To New Orleans,Poncho Sanchez,2001,NaN,0.577228503,0.373552391,198.855,-7.151,7,0.441,2,0.389,1,0.403,46.48301992,-12.8134255,23.84615777,8.736539442,9.238,-6.054449402,6.121542629,1.931408765,4.02141753,1.411929084,1.343253386,9.445513944,happy
Gone,Frankie J,2005,0.522733261,0.761357312,0.42337641,117.844,-6.728,4,1,4,0,0,0.17,42.85544584,43.05502965,-41.405439,-11.71109008,16.30314025,-15.60067845,-13.74434664,-12.01634436,5.038904219,-0.203641961,1.277350057,2.419245154,calm
Good Day,Britt Nicole,2007,0.521659258,0.669500125,0.544446277,132.021,-3.092,4,0.458,1,0.646,1,0.43,51.20034914,59.26824901,25.51193939,6.826824769,10.87477207,-11.22793017,-0.130196311,5.476372859,2.726214756,9.803092227,-2.345097497,-3.105475626,happy
Good Enough,Evanescence,2006,0.73897068,0.920959645,0.705757553,91.371,-12.527,4,0.934,0,0.806,1,0.505,40.2255905,-64.97240308,38.81775225,-9.8716457,19.49675225,-17.05443004,-18.01113222,-1.438920411,-6.830545571,-7.495369705,2.898296534,11.00984596,sad
Goons Lurkin (Instrumental Album Version),Plies,2007,NaN,0.919517092,0.547940429,110.933,-9.545,4,1,9,0.755,1,0.598,43.96482899,47.75954203,-38.92548599,-9.637901449,10.09658551,-25.92287053,22.46614783,2.738390338,5.954791304,5.313315942,-4.347297585,-10.1686657,angry
Got It Twisted,Mobb Deep,2004,0.662826893,0.772272161,0.500119335,103.433,-5.627,4,1,6,0.113,0,0.233,46.39607692,53.97510218,6.425986223,-2.49167853,5.561608496,-1.206925373,-11.93511251,1.574297359,0.852566016,7.322551091,-6.88356946,-2.09263031,angry
Got To Find My Little Woman,Blind Boy Fuller,2005,0,0.541231189,0.360170271,87.899,-14.243,4,0.086,10,0.639,1,0.511,37.74700806,-18.74624355,26.51105645,6.139162903,22.91832581,18.17987258,-17.69282258,4.418641935,-2.108237097,-2.930120968,2.849532258,17.64696935,calm
Got To Let You Go,Kim Wilson,2001,0.377531645,0.459810163,0.328997859,163.085,-11.96,4,0.592,3,0,1,0.171,42.60570292,-70.98423305,39.00363559,-6.078155367,8.923149718,-5.15134887,-20.3615838,0.525868644,14.59911111,3.001359699,-2.323900659,-12.54107345,happy
Gotta Cut Out,Jimmy McCracklin,2002,0.262308997,0.42429413,0.327239606,101.241,-8.441,4,0.819,2,0.397,0,0.161,45.89368522,-87.31359826,62.30191826,13.91948174,9.183314783,7.868535652,0.17601913,-6.141535652,14.44360174,-0.669556522,-1.017309565,7.27946087,happy
Greatest X,Janet Jackson,2008,NaN,0.803836826,0.58257534,114.024,-7.006,4,1,1,0.613,1,0.615,44.73970049,28.27996749,-18.66459901,-6.849147783,21.19846404,-19.45855961,-7.257012808,-10.9677931,-8.573099507,-0.68737931,0.695026601,-4.442737931,sad
Grey Skies Turn Blue,MxPx,2004,0.645543023,0.763010513,0.537675628,87.779,-3.861,4,0.396,11,0.473,1,0.577,52.13119926,48.22078229,17.13882288,-6.543001845,-35.25893173,-16.40472694,-14.34610332,1.440472325,10.72644465,4.403833948,1.558693727,8.950614391,happy
Guajira Y Ven,Willie Colon,2001,NaN,0.621629436,0.51912008,128.444,-7.818,1,0,0,0.58,0,0.467,44.03547311,-7.028205105,30.38917138,16.68111121,-17.70696992,17.14372288,-2.253937101,-4.069588879,10.6127247,6.683505925,-3.91309845,-1.582684594,excited
Happy Valentine's Day,OutKast,2003,NaN,0.796419553,0.574497026,100.026,-4.018,4,1,7,0.371,1,0.554,46.69633997,66.47348646,39.76664889,46.18205414,6.610347134,3.60507086,1.840589968,7.397632962,2.539511943,6.499949045,0.444324841,-4.825410828,excited
Hard Times,Eastmountainsouth,2003,0.733990879,0.583290824,0.385998326,125.986,-8.843,4,0.281,6,0.08,1,0.422,43.93156068,-27.4661106,11.70124578,-9.830517665,20.30101075,-10.36433641,-2.953866359,-9.273384025,-5.203043011,-13.21245469,-0.658758833,11.82870814,sad
Harder To Breathe,Maroon 5,2002,0.979837196,0.905477001,0.843380274,149.917,-4.757,4,0.791,1,0.65,0,0.575,48.94698093,23.58213624,8.787133515,3.421213896,16.4136485,-4.369356948,-6.319723433,-4.14236376,9.581179837,4.26373842,1.395415531,-0.331449591,happy
Head Over Heels,Sylvia Tosun,2004,NaN,0.525869437,0.435127195,127.968,-6.319,4,0.673,8,0.328,1,0.433,46.54311041,17.38575662,-14.54020187,19.35612575,10.032966,-14.63145427,8.456745187,1.688198255,-4.133574007,3.967471721,9.241572503,-2.820474128,excited
Headsprung,LL Cool J,2004,NaN,0.749217793,0.544321915,99.914,-7.553,4,1,10,0.006,1,0.33,45.39290102,-6.335278571,-9.596903061,9.613834694,-30.17205714,4.914817347,12.66481837,15.45219082,26.31570612,3.791689796,-3.102393878,7.982565306,excited
Heartburn,Alicia Keys,2003,0.684472942,0.933916106,0.778673579,105.775,-9.74,4,0.986,1,0.477,1,0.354,40.9994239,-2.235820768,-7.906842105,-7.423355619,-5.03428734,-7.889136558,4.401260313,8.326456615,9.548046942,8.359883357,-5.949789474,-8.634880512,happy
High Horse,Daniel Johnston,2009,0.646151234,0.713322147,0.473613189,128.022,-8.208,4,0.431,0,1,1,0.845,47.57308846,0.412705769,50.31679808,9.021203846,-30.79916538,-15.58679231,21.87406923,-2.665392308,3.530332692,-5.4093,1.866076923,2.699588462,happy
Hope  (Edited Album Version),Twista Featuring Cee-Lo,2004,0.327736683,0.889613555,0.593808365,106.967,-5.126,4,0.643,11,0.334,1,0.451,46.87626575,-12.52774962,-21.72345929,6.303986943,11.83883717,6.929195853,3.211793395,-2.12288172,-11.23556528,2.183115207,-6.613498464,2.567735023,happy
Hope For The Fallen,Call To Preserve,2008,0.496795817,0.634764556,0.423976263,158.018,-1.672,1,0,5,0.281,0,0.305,54.00939675,48.86325854,30.9677252,-0.036294309,-19.38191545,-29.34525203,8.760343089,0.27959187,18.74103415,11.82424715,-0.891674797,1.95403252,angry
How Bad Do You Want It,Mark Wills,2003,0.503381236,0.679789024,0.483035298,96.071,-5.849,4,0,2,1,1,0.921,48.84106119,16.111657,25.83536232,1.038703704,-3.121417069,-11.91413043,1.625974235,-4.372075684,-3.538780998,-4.622096618,0.27642029,-5.354808374,happy
Hum Drum,Terror Squad / Remy / Prospect / Armageddon,2004,0.473346541,0.62136191,0.395073819,181.3,-5.511,7,1,11,0.041,0,0.334,46.54469769,22.25285832,4.396175453,-1.462644152,1.661817133,10.06239868,-7.654905272,-2.204079901,6.369109555,3.117469522,-6.558910214,0.332729819,angry
Hungry People,Otis Taylor,2001,0.542084763,0.590792957,0.394884438,84.56,-10.432,7,0.747,0,0.808,1,0.559,39.00290196,-30.32580477,-59.29314152,-15.74672208,-8.825077579,-4.76174254,-24.72016795,-20.20190708,3.478364024,-1.296236999,3.296712702,13.71039898,calm
Hunter,30 Seconds To Mars,2005,0.792042603,0.909324834,0.677087547,106.525,-10.807,3,1,10,0.226,1,0.159,40.94107823,-14.3248115,-43.90234684,-8.74770688,-9.053734213,-34.52176626,8.63168049,1.938273327,8.422473139,5.32033082,4.975976437,-4.049803959,excited
I Am Fred Astaire (Album Version),Taking Back Sunday,2004,0.672441214,0.911599657,0.57237398,147.745,-4.495,4,1,7,0.795,1,0.708,50.55345068,25.0768726,30.56548356,1.902342466,-22.72546575,-24.14019863,-3.043205479,-0.537743836,14.08903836,4.678161644,1.56049863,-6.681009589,excited
I Can't Rest,Fontella Bass,2006,0.547952942,0.558916244,0.392579878,124.826,-6.754,4,0.518,7,0.517,1,0.542,47.40441195,24.19262843,68.49108078,14.18398546,8.242505654,-6.627786753,-4.878899838,-6.649429725,17.64522456,1.662137318,-1.33979483,-0.258285945,happy
I Can't Stand It,Sam Baker,2005,0,0.688332484,0.341512969,111.852,-14.849,4,1,8,0.064,1,0.521,39.150749,-88.97617871,75.88828916,21.84767068,-67.42588554,5.046126506,14.15883534,1.606281124,8.251648594,1.912803213,2.282251004,-7.139514056,happy
I Constantly Thank God For Esteban (Album Version),Panic! At The Disco,2005,0.727889463,0.842368944,0.604655128,167.011,-5.72,4,0,7,0.692,0,0.58,46.90908876,21.10302012,-15.66031716,-10.27638935,5.151804734,-13.05203669,-7.053429586,-5.155202367,1.79495858,9.783712426,0.021784615,4.580960947,excited
I Don't Want To Hear Any More,Eagles,2007,0.567656587,0.76702021,0.68198776,92.186,-6.182,4,0.468,5,0.449,1,0.359,46.84587961,-20.13998894,-5.46845086,2.144539312,-6.146669533,-11.35255037,3.355782555,-13.4747285,8.781164619,-3.610512285,1.915438575,-1.895891892,sad
I Want You (Album Version),Faith Hill,2005,0.454192988,0.882111591,0.670106173,119.06,-9.695,4,1,0,0.621,1,0.609,39.12768814,-21.20487014,-41.11802658,-18.14596115,20.64150204,-19.80893865,5.799898773,-10.44148569,-1.727352761,-4.565770961,-2.294833333,-4.156494888,happy
I Will Always Love You,Deborah Allen,2005,0.265861049,0.510798011,0.352235517,67.904,-11.156,4,0.655,6,0.755,1,0.726,38.29901282,-36.09424872,8.687846154,-7.827725641,9.695192308,-7.721551282,-8.3719,-7.528212821,14.02218974,-1.747276923,-1.88054359,8.115615385,sad
I'll Be Glad,Elvin Bishop,2005,0.334706549,0.558475816,0.40788797,100.173,-4.559,4,1,0,0.816,1,0.781,49.6522035,5.630764706,24.9212027,4.491531797,-3.731508744,7.329385533,-11.78894197,-5.322040541,1.065131955,-5.415837043,-1.948521463,3.261158983,happy
I'll Come Running,Connie Smith,2001,0.427446571,0.496794628,0.365260893,124.916,-9.089,4,0,4,0.036,0,0.366,45.97782489,-2.299957806,36.57457384,1.672609705,3.136316456,-6.807987342,7.61564135,1.28885654,-4.101816456,-6.98735654,-1.304835443,8.681236287,happy
If I Ruled The World,Regina Belle,2004,NaN,0.566024302,0.384601686,67.745,-10.72,4,0,0,0.416,1,0.471,38.12390946,-30.56587223,-20.71141851,-10.55819416,17.98945775,-2.433848089,-11.19680584,-4.887270624,9.744257545,-1.545142857,-7.063114688,-1.506813883,sad
If You Love Me,Becky Baeling,2003,NaN,0.506933336,0.33485127,132.892,-5.963,4,0.398,7,0.447,1,0.508,48.14415342,26.84989372,6.313072089,10.73855453,10.22962107,-19.73196118,1.679358595,-0.860348429,-0.933292052,7.763798521,6.174787431,-0.736159889,excited
In Da House Skit,50 Cent,2007,NaN,0.88348708,0.588649959,152.227,-13.102,1,0.091,10,0.743,0,0.687,40.71742105,55.70627368,64.70549474,-0.875768421,26.683,0.272368421,-13.64773684,-1.511757895,-13.21786316,-2.451073684,-6.616978947,-1.739705263,excited
In My Hood (Explicit Album Version),Fabolous,2004,0.670675085,0.571681627,0.54000775,90.086,-4.636,4,1,1,0.6,1,0.434,45.05881363,23.89065401,-11.68609318,14.46100604,-3.151767041,11.05614409,-7.907803279,-8.720916307,7.951515099,7.192868852,-8.132471096,8.020452977,calm
In This Legacy,Monty Are I,2006,0.662493161,0.702077834,0.330820071,189.917,-4.654,4,0.297,8,0.452,0,0.498,49.66317312,39.90956295,22.17402421,-5.364893462,-24.51114407,-20.41756174,-5.588731235,-0.098570218,6.125515738,10.89046852,0.539693705,0.968590799,angry
Inertiatic Esp,The Mars Volta,2003,0.928616842,0.867258942,0.547764111,112.486,-3.952,4,0.529,6,0.501,0,0.612,49.50912516,32.82874842,45.81036283,-3.620548673,-17.26777876,-15.97708217,-7.360896334,-1.119903919,1.062978508,0.85726043,0.961541087,-0.284606827,excited
Inherent Scars,Symphony in Peril,2005,0.507669472,0.610632338,0.398729456,100.034,-6.776,4,1,9,0.871,1,0.704,46.0693165,-13.98934757,-14.15843883,-9.853256311,-26.66838447,-15.92913592,-12.47631845,2.113953398,6.107481553,1.962434951,-2.805933981,1.342330097,angry
Into The Mouth Of Hell We March [Explicit],Trivium,2008,NaN,0.847754656,0.494206855,141.813,-3.18,4,0.405,4,0.414,0,0.331,52.27015767,56.6291602,19.30383558,-5.203868465,-30.68871501,-29.41937184,3.875639966,-3.597007589,10.53062732,9.355026981,0.848403035,-2.994248735,angry
Intro,Bizzy Bone Presents,2004,0.340922756,0.754180833,0.476254162,81.901,-7.837,4,0,4,0.222,0,0.275,46.8665,79.09484404,-14.03243578,1.543880734,-16.01301835,-13.76953211,-2.472605505,-16.95270642,10.12092661,1.932963303,-1.503220183,6.792642202,calm
Intro,Papoose,2006,0.392008771,0.772471313,0.440407444,95.147,-10.951,1,0,1,0.494,0,0.201,37.29841916,49.54920359,43.54958683,3.598329341,47.00150299,46.57374251,-32.6352994,-6.783383234,-31.96714371,5.916083832,-10.67390419,17.24877844,angry
Intro,Styles P,2002,0.535953802,0.743792498,0.472670741,93.412,-11.895,3,0.949,6,0.36,0,0.371,41.79182828,56.75230303,-15.58313805,-20.56644781,0.402949495,-15.89062963,-16.73617845,4.395393939,18.30767003,17.00418855,-8.983838384,-17.83370707,angry
Introduction (Album Version),Fort Minor,2005,0.702023635,0.799689798,0.54441459,122.843,-14.866,5,0.833,5,0.615,1,0.428,36.50543165,-24.94099281,73.0673741,5.008402878,-3.583302158,-10.42379137,-29.00128058,-7.140920863,-14.42915827,-8.695230216,7.561776978,13.93289928,excited
Irresistible,Jessica Simpson featuring Lil Bow Wow,2001,NaN,0.772518285,0.578790799,93.08,-6.288,4,0.88,1,0.73,0,0.49,45.59813836,29.07961417,1.526268841,8.694610799,7.511308211,-7.180856018,4.504732283,-2.130698538,1.807183352,3.641930259,-1.641794151,-2.863204724,happy
Isolate,ZO2,2007,0.405115722,0.595660905,0.345241137,150.715,-4.098,4,0.722,7,0.083,1,0.303,51.70214776,74.49746269,20.75849851,-7.250537313,-12.34614179,-25.12374627,0.712534328,-1.743755224,13.49779403,5.744002985,-0.475213433,10.96152239,angry
It Won't Be Long Now,Frank Stokes,2005,NaN,0.428252654,0.351023682,94.73,-19.27,4,0.798,1,0.051,1,0.506,33.31903397,-95.08653176,-49.79763516,-36.75619941,-23.28128065,-4.628177253,-25.75293648,15.19685377,0.643856721,16.20072526,-1.478918759,5.524406204,sad
Jack's Lament,The All American Rejects,2008,0.620458374,0.840651579,0.614973974,109.697,-9.322,5,0.76,2,0,0,0.13,44.31696182,-15.91615818,25.92307636,-11.71146909,8.937483636,-2.12544,-24.08250727,-5.776847273,-4.417585455,-4.764941818,-1.293398182,7.863427273,sad
Janice's Party,Fountains Of Wayne,2005,0.468997788,0.717762702,0.532266186,134.289,-5.094,4,0,9,0.086,1,0.496,49.18266598,31.26091909,7.964782158,-6.678991701,2.220153527,-21.13882365,-6.050740664,2.652896266,13.81946058,2.919165975,-0.697659751,-6.41876556,happy
Just Want To See Ya,Pacha Massive,2009,0.319686859,0.590818773,0.420945486,140.025,-8.948,4,0.579,0,0.328,0,0.357,39.77992546,-49.07152178,-48.83387706,3.465205227,7.724758955,6.732468538,6.793593417,-2.420246854,4.331452081,-6.657717328,-1.961867377,7.205929332,calm
Kettle Black,BLEED THE SKY,2008,0.457447167,0.646815253,0.433173023,116.064,-5.992,4,0.247,1,0.033,0,0.347,50.31642334,79.15702962,10.28217422,-12.69106794,-30.38311847,-23.56686237,-7.808865854,-0.095134146,13.9102439,8.522444251,0.197770035,15.68767247,angry
Kickstart My Heart (Album Version),Between The Buried And Me,2006,0.769201429,0.840590438,0.546545162,89.485,-5.493,4,0.801,4,0.772,0,0.617,49.94853902,20.82478044,10.96009469,-9.756639958,-12.36139022,-21.1390281,-3.685895942,-3.682478668,17.11472841,3.788813736,1.260828304,11.39319979,angry
Kids In the Store,George Lopez,2003,NaN,0.668020249,0.516963731,83.883,-15.336,1,0.568,5,0.253,1,0.352,37.037733,3.334180296,87.77386502,17.37322167,39.69863054,3.371210837,-17.33625714,1.961141872,-14.72955074,-3.89493399,-3.281553695,2.435123153,happy
Kids Of Tragedy,Suzi Quatro,2004,0.375984302,0.627361447,0.406642649,124.519,-11.38,4,1,4,1,1,0.782,43.4138588,14.23697674,22.71028571,-8.488119601,-26.0360598,-10.98726744,13.14745349,4.207536545,-0.826184385,4.570194352,-7.75791196,-7.66442691,sad
Kill Miss America (Album Version),Murderdolls,2002,0.640779216,0.655995345,0.436329934,195.317,-4.063,1,0,9,0.198,1,0.313,51.22181557,96.40812521,43.26897462,5.248808799,-58.12655668,-17.3701912,-12.07889002,-2.215962775,21.83439255,15.09752115,0.878862944,0.177416244,angry
Killing Machine,Aiden,2009,0.715511707,0.773491324,0.500459151,207.974,-4.459,4,0,2,0,0,0.242,50.24629982,29.07434918,25.68152651,-1.029511883,-13.41426143,-22.4259415,0.113575868,1.814073126,7.31338574,3.649129799,2.245254113,0.664142596,angry
Knocked Up,Kings Of Leon,2007,NaN,0.845768866,0.788805935,114.73,-7.714,4,0.572,9,0,1,0,47.91839295,-9.404130435,30.94930271,-3.272509434,-45.72722067,-18.71338638,16.54706317,-4.794205906,-4.223433962,-6.436251025,2.411853158,4.613180476,excited
Lesson Learned,Alice In Chains,2009,0.824432869,0.796337059,0.582921576,107.845,-3.91,4,1,10,0.346,0,0.422,52.83436692,35.38332129,35.11715209,-5.412547529,-32.34791065,-23.82631939,4.395492395,-0.564788973,6.253437262,2.490758555,0.489903042,0.542123574,sad
Little Drummer Boy,The Almost,2008,0.569505199,0.829851316,0.581505803,163.975,-7.387,4,1,7,0.433,1,0.351,44.83068714,7.526528571,-19.58416286,-3.391791429,-5.814135714,-11.42385286,2.945015714,-1.19773,11.80621143,-0.385377143,1.66424,5.458007143,happy
Long Live The Party,Andrew W.K.,2003,0.635417856,0.698532477,0.509456001,191.144,-4.008,4,0.474,4,0.209,1,0.296,51.73903433,22.60965665,32.62199714,-1.546773963,-13.93182833,-19.24242775,6.347638054,-0.975015737,9.162228898,5.597769671,-0.71844206,1.371638054,excited
Long Way 2 Go (Album Version),Cassie,2006,NaN,0.821121431,0.476803354,52.711,-8.081,4,0.774,8,0.319,1,0.465,47.21132709,21.06025,28.91082819,6.200753304,-13.76795374,-11.80548568,-3.458006608,-3.427051762,-0.640422907,5.458185022,-4.749349119,-0.297502203,happy
Look Up At The Stars And You're Gone,Evergreen Terrace,2001,0.510962044,0.825192029,0.529165902,112.421,-4.732,1,0,7,0.585,1,0.639,47.99822378,43.09632168,24.53177448,2.615052448,-28.22243881,-18.59219056,-14.0467465,7.921727273,4.700090909,6.413968531,2.87258042,0.709965035,angry
Lost,Roger Sanchez,2006,NaN,0.71867235,0.451648407,127.929,-11.049,5,1,7,0.276,0,0.172,41.03792507,37.50081333,-66.40110544,21.45598906,-6.039685676,-35.11119562,10.32140716,14.3836691,8.79036439,14.13593966,-1.000550066,-7.288352785,excited
Louise,Willy DeVille,2008,0.299877488,0.613598057,0.377720338,60.646,-8.975,1,0,7,0.943,1,0.682,44.24794778,-87.01979589,50.41468987,1.263276899,-10.29740506,-3.36802057,8.787063291,-6.406708861,-5.424889241,-11.87607437,-2.246174051,0.179988924,calm
Love Thing,Bebe Winans,2002,0.304169503,0.600195393,0.48818139,161.405,-10.486,4,0.692,1,0,1,0.296,40.76822308,10.03518429,-18.36457129,-13.52250533,-4.436469447,-8.942478177,-21.41974782,-3.973987391,-7.262345296,-2.523984481,0.547736178,15.39509311,calm
Lullaby,Dixie Chicks,2006,0.865831829,0.827409365,0.576902281,109.74,-12.749,4,0,5,0.458,1,0.409,38.091481,-49.73954506,-23.01292182,-15.37494788,-10.20460261,-6.154067318,2.440606949,-14.51195874,-2.386282302,-5.285947883,-2.64194354,11.7112215,calm
Mai,Loudermilk,2002,0.319565987,0.472468368,0.31318008,112.398,-6.564,4,1,6,0.278,1,0.392,46.57734795,12.73385997,14.26202687,-12.90835078,-37.67950919,-18.17578784,-1.682930693,-1.991630835,14.27503253,4.040554455,-1.957338048,-2.149468175,angry
Mas P**' (America'S Mexican),George Lopez,2007,NaN,0.668020249,0.516963731,120.492,-8.874,3,0.337,6,0.056,1,0.319,43.35404334,-6.451361863,112.6413651,25.53035536,31.71476381,1.931859155,-12.62982232,-3.366801733,-0.353833153,-5.066408451,-1.193617551,2.194293608,happy
Mean Machine (Remastered LP Version),Sugar Ray,2005,0.563246899,0.718400769,0.47251295,92.299,-4.068,4,0.028,11,0.258,0,0.515,52.27131,44.240056,28.682336,1.512868,-13.334278,-15.476916,3.587804,8.159586,7.737044,10.441766,-2.905974,-5.389358,angry
Meathead (Album Version) (Non-PA),Story Of The Year,2005,0.624180159,0.806762596,0.580095045,209.695,-4.219,4,0.493,10,0.059,1,0.415,51.79042072,25.15039535,18.71075476,-10.23004017,-25.33315011,-25.61130867,-5.816194503,-3.958902748,11.45751797,11.28360888,-0.115676533,-2.317801268,angry
Medicate Myself,The Verve Pipe,2001,0.466304831,0.70334944,0.498395338,133.306,-4.953,4,0.338,9,0.295,1,0.196,48.00014773,29.02344444,28.58992298,-1.395819444,-20.15433081,-13.08124116,3.95507197,-0.324238636,3.422883838,4.625580808,-2.902498737,2.062051768,sad
Medicine,Bobaflex,2005,0.637016452,0.588781959,0.415408952,104.08,-4.515,4,1,5,0.129,0,0.463,50.20955916,30.4819771,28.73562977,0.549877863,-9.885225191,-10.86112023,4.879770992,0.471085878,-0.322650763,9.679471374,-6.175517176,-2.973083969,angry
Memories,George Lopez,2001,NaN,0.668020249,0.516963731,118.06,-16.016,1,0.407,7,0.286,1,0.308,37.23376094,-7.228449495,116.0711886,25.86361785,47.32275758,0.312060606,-4.324986532,5.133712121,-6.578728956,3.993959596,-6.131367003,-8.031611111,happy
Memphis Jug,Memphis Jug Band,2001,NaN,0.506126774,0.350787891,141.185,-17.186,4,0,2,0,0,0.064,36.26136378,-82.33710394,8.803656693,-16.62016378,-26.31750394,9.271004724,-37.82656378,9.182812598,-8.664133858,8.509541732,-1.689472441,7.417817323,sad
Mill Creek,Darden Smith,2004,0.249065795,0.485855596,0.362960597,120.049,-14.18,4,0.455,0,0.166,1,0.463,37.09133333,-55.80014363,-60.66994986,-19.82272358,-22.0574607,-4.987631436,19.40564634,-3.149903794,-2.808134146,-5.019132791,-5.520985095,17.0487561,sad
Moving Mountains,Usher,2008,NaN,0.856448924,0.851233891,126.955,-5.692,5,1,11,0.294,1,0.233,48.42629333,74.59544733,-22.09071267,9.563499333,-7.857192,-10.46859733,-7.29193,0.195926,14.74836133,14.173974,0.47028,-6.002950667,sad
